X0,X1,Y
180,195,1
155,164,1
85,88,1
78,107,1
67,82,0
76,148,1
94,127,1
58,97,0
54,83,0
54,84,0
75,130,1
95,121,0
68,100,0
102,121,1
84,105,1
63,88,0
58,101,0
62,101,0
45,74,0
40,61,0
39,74,0
41,73,0
70,115,0
65,83,0
113,145,1
88,108,1
80,107,1
87,120,1
50,91,0
48,94,0
42,64,0
36,63,0
37,76,0
45,90,0
34,53,0
55,85,0
86,115,1
87,94,1
86,91,1
63,84,0
52,89,0
43,74,1
43,65,1
33,58,0
27,48,0
36,57,0
41,65,0
67,107,0
94,120,1
88,85,1
64,88,0
47,69,0
47,105,0
32,55,0
40,65,1
28,51,0
25,48,1
28,56,0
40,77,0
62,80,0
69,92,1
