平均心率,59
分类,窦性心律
0.005038,
0.002155,
-0.002903,
-0.009077,
-0.015394,
-0.021186,
-0.026058,
-0.029683,
-0.031585,
-0.031353,
-0.029158,
-0.025833,
-0.022454,
-0.019876,
-0.018546,
-0.018621,
-0.020215,
-0.02358,
-0.02909,
-0.036746,
-0.04581,
-0.055194,
-0.063959,
-0.071327,
-0.076499,
-0.078662,
-0.077233,
-0.072082,
-0.063716,
-0.05343,
-0.043053,
-0.034262,
-0.027991,
-0.024396,
-0.023152,
-0.023621,
-0.024948,
-0.026343,
-0.027301,
-0.027576,
-0.027031,
-0.025572,
-0.023307,
-0.020711,
-0.018594,
-0.017786,
-0.018837,
-0.021952,
-0.026968,
-0.033135,
-0.039107,
-0.043378,
-0.044804,
-0.042718,
-0.036821,
-0.027366,
-0.015329,
-0.002025,
0.011484,
0.024359,
0.035596,
0.04414,
0.049466,
0.051812,
0.051827,
0.05028,
0.048094,
0.04626,
0.045299,
0.044987,
0.0448,
0.044465,
0.04387,
0.042629,
0.040094,
0.035789,
0.029685,
0.022035,
0.013281,
0.004256,
-0.003832,
-0.010067,
-0.014513,
-0.018075,
-0.021911,
-0.02713,
-0.034657,
-0.044784,
-0.056782,
-0.069047,
-0.079718,
-0.087287,
-0.09101,
-0.09112,
-0.088847,
-0.086005,
-0.08421,
-0.084299,
-0.086343,
-0.08999,
-0.094643,
-0.09945,
-0.103354,
-0.105336,
-0.104776,
-0.101732,
-0.096993,
-0.091774,
-0.087221,
-0.083997,
-0.082046,
-0.080576,
-0.078333,
-0.074123,
-0.067315,
-0.058005,
-0.046836,
-0.034723,
-0.022428,
-0.009977,
0.003801,
0.021236,
0.045088,
0.077385,
0.118206,
0.164729,
0.211131,
0.2841,
0.367417,
0.396713,
0.369819,
0.264587,
0.175548,
0.11441,
0.05015,
-0.012063,
-0.069489,
-0.121756,
-0.169994,
-0.215569,
-0.258742,
-0.29793,
-0.330075,
-0.385919,
-0.435458,
-0.395964,
-0.33593,
-0.305939,
-0.269306,
-0.231298,
-0.196647,
-0.168392,
-0.147661,
-0.134036,
-0.125903,
-0.120796,
-0.11614,
-0.110106,
-0.101784,
-0.090942,
-0.078033,
-0.064163,
-0.050678,
-0.038631,
-0.02866,
-0.021125,
-0.016092,
-0.013233,
-0.012022,
-0.012097,
-0.013383,
-0.015978,
-0.01997,
-0.025336,
-0.031907,
-0.039303,
-0.046849,
-0.053661,
-0.058803,
-0.061387,
-0.060579,
-0.055788,
-0.047119,
-0.03558,
-0.022719,
-0.010147,
0.000609,
0.008156,
0.011503,
0.010452,
0.005676,
-0.001454,
-0.00897,
-0.014653,
-0.016759,
-0.014525,
-0.0081,
0.001796,
0.014112,
0.027501,
0.040381,
0.051239,
0.059024,
0.063412,
0.06482,
0.064161,
0.062399,
0.060196,
0.057912,
0.055937,
0.05498,
0.056063,
0.060203,
0.068019,
0.079659,
0.094889,
0.112897,
0.131932,
0.149433,
0.162767,
0.170189,
0.171528,
0.168289,
0.16325,
0.159527,
0.159505,
0.164183,
0.173222,
0.185359,
0.198763,
0.211447,
0.221919,
0.229686,
0.235086,
0.238753,
0.241352,
0.243604,
0.246182,
0.249579,
0.25417,
0.260246,
0.267815,
0.276365,
0.285019,
0.292913,
0.299323,
0.303608,
0.305485,
0.305477,
0.304746,
0.304335,
0.304707,
0.305808,
0.307134,
0.307717,
0.306388,
0.302316,
0.295385,
0.28604,
0.274902,
0.262586,
0.249555,
0.235849,
0.221085,
0.204953,
0.187698,
0.170093,
0.153198,
0.138223,
0.126187,
0.11735,
0.111017,
0.105849,
0.100353,
0.093189,
0.083334,
0.070306,
0.054217,
0.035566,
0.01519,
-0.005679,
-0.025668,
-0.043632,
-0.05882,
-0.070804,
-0.079422,
-0.084809,
-0.087176,
-0.086569,
-0.083058,
-0.077093,
-0.069609,
-0.061988,
-0.05603,
-0.053618,
-0.05589,
-0.062612,
-0.072337,
-0.082932,
-0.092078,
-0.097795,
-0.099108,
-0.096495,
-0.091687,
-0.086864,
-0.083856,
-0.083717,
-0.08656,
-0.091562,
-0.097188,
-0.101514,
-0.10256,
-0.098747,
-0.089339,
-0.074785,
-0.056859,
-0.038369,
-0.022475,
-0.011833,
-0.007832,
-0.010241,
-0.017374,
-0.026663,
-0.035346,
-0.04113,
-0.042846,
-0.04076,
-0.036302,
-0.031469,
-0.028264,
-0.028301,
-0.032381,
-0.040168,
-0.050485,
-0.061931,
-0.073134,
-0.082736,
-0.089597,
-0.093196,
-0.093904,
-0.092837,
-0.091407,
-0.0907,
-0.090907,
-0.091233,
-0.090428,
-0.087554,
-0.082337,
-0.075042,
-0.066375,
-0.057358,
-0.048982,
-0.04184,
-0.03602,
-0.03122,
-0.026872,
-0.02239,
-0.017526,
-0.01253,
-0.008034,
-0.004694,
-0.0028,
-0.002286,
-0.003029,
-0.005013,
-0.008293,
-0.012908,
-0.018895,
-0.026347,
-0.035205,
-0.04488,
-0.054096,
-0.061246,
-0.065003,
-0.064648,
-0.060212,
-0.052561,
-0.043236,
-0.0341,
-0.02693,
-0.022967,
-0.022614,
-0.025418,
-0.030302,
-0.035978,
-0.041391,
-0.045995,
-0.049642,
-0.052107,
-0.052822,
-0.051124,
-0.046753,
-0.040071,
-0.031897,
-0.02327,
-0.015392,
-0.009492,
-0.006468,
-0.006524,
-0.009183,
-0.013601,
-0.018785,
-0.023727,
-0.02765,
-0.030255,
-0.031646,
-0.032062,
-0.031705,
-0.030729,
-0.029234,
-0.027178,
-0.024503,
-0.021392,
-0.018355,
-0.016005,
-0.014734,
-0.014486,
-0.014671,
-0.014261,
-0.012145,
-0.007562,
-0.000448,
0.008342,
0.017156,
0.024017,
0.027108,
0.025073,
0.017349,
0.004679,
-0.010697,
-0.025747,
-0.037668,
-0.044374,
-0.044667,
-0.0386,
-0.027696,
-0.014488,
-0.001763,
0.007962,
0.012993,
0.01316,
0.010046,
0.006257,
0.00418,
0.005149,
0.009407,
0.01633,
0.024581,
0.032418,
0.038257,
0.041172,
0.041038,
0.038423,
0.034356,
0.029875,
0.025553,
0.021432,
0.017385,
0.013423,
0.009496,
0.005225,
0.000155,
-0.005842,
-0.012565,
-0.019668,
-0.026617,
-0.032686,
-0.037278,
-0.040203,
-0.041551,
-0.041511,
-0.040633,
-0.04001,
-0.040769,
-0.043336,
-0.047445,
-0.052702,
-0.05876,
-0.064978,
-0.070422,
-0.074322,
-0.07633,
-0.076422,
-0.074871,
-0.072462,
-0.070475,
-0.070064,
